Downloaded on,03/10/2025,19:11:46 EDT,,,,,,,,,,,,
Search URL,https://www.congress.gov/search?q=%7B%22source%22%3A%22all%22%2C%22search%22%3A%22legislativeSource%3A%5C%22Legislation%5C%22+AND+congressId%3A118+AND+actionCode%3A%5C%225000%5C%22+AND+chamber%3A%5C%22House%5C%22%22%7D,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Amends Bill,Date Offered,Date Submitted,Date Proposed,Amends Amendment
H.R. 3365,https://www.congress.gov/bill/118th-congress/house-bill/3365,118th Congress (2023-2024),Supply Chain Improvement Act,"Duarte, John S. [Rep.-R-CA-13]",05/16/2023,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 635.",11/26/2024,2,,,,,
H.R. 6997,https://www.congress.gov/bill/118th-congress/house-bill/6997,118th Congress (2023-2024),Disaster Contract Improvement Act,"LaLota, Nick [Rep.-R-NY-1]",01/16/2024,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 641.",11/26/2024,3,,,,,
H.R. 7777,https://www.congress.gov/bill/118th-congress/house-bill/7777,118th Congress (2023-2024),Veterans’ Compensation Cost-of-Living Adjustment Act of 2024,"Luttrell, Morgan [Rep.-R-TX-8]",03/21/2024,House - Veterans' Affairs,Became Public Law No: 118-130.,11/25/2024,1,,,,,
H.R. 5861,https://www.congress.gov/bill/118th-congress/house-bill/5861,118th Congress (2023-2024),BRIDGE for Workers Act,"LaHood, Darin [Rep.-R-IL-16]",10/02/2023,House - Ways and Means | Senate - Finance,Became Public Law No: 118-120.,11/25/2024,1,,,,,
H.R. 5490,https://www.congress.gov/bill/118th-congress/house-bill/5490,118th Congress (2023-2024),Bolstering Ecosystems Against Coastal Harm Act,"Kiggans, Jennifer A [Rep.-R-VA-2]",09/14/2023,House - Natural Resources,Became Public Law No: 118-117.,11/25/2024,1,,,,,
H.R. 6249,https://www.congress.gov/bill/118th-congress/house-bill/6249,118th Congress (2023-2024),Think Differently About Emergencies Act,"Molinaro, Marcus J. [Rep.-R-NY-19]",11/06/2023,House - Transportation and Infrastructure | Senate - Homeland Security and Governmental Affairs,Became Public Law No: 118-123.,11/25/2024,10,,,,,
H.R. 4190,https://www.congress.gov/bill/118th-congress/house-bill/4190,118th Congress (2023-2024),Restoring Benefits to Defrauded Veterans Act,"Trone, David J. [Rep.-D-MD-6]",06/15/2023,House - Veterans' Affairs,Became Public Law No: 118-114.,11/25/2024,4,,,,,
H.R. 6324,https://www.congress.gov/bill/118th-congress/house-bill/6324,118th Congress (2023-2024),Fiscal Year 2024 Veterans Affairs Major Medical Facility Authorization Act,"Bost, Mike [Rep.-R-IL-12]",11/09/2023,House - Veterans' Affairs,Became Public Law No: 118-124.,11/25/2024,1,,,,,
H.R. 7227,https://www.congress.gov/bill/118th-congress/house-bill/7227,118th Congress (2023-2024),Truth and Healing Commission on Indian Boarding School Policies Act of 2024,"Davids, Sharice [Rep.-D-KS-3]",02/05/2024,"House - Education and the Workforce, Natural Resources, Energy and Commerce","Placed on the Union Calendar, Calendar No. 630.",11/22/2024,80,,,,,
H.R. 7189,https://www.congress.gov/bill/118th-congress/house-bill/7189,118th Congress (2023-2024),Congenital Heart Futures Reauthorization Act of 2024,"Bilirakis, Gus M. [Rep.-R-FL-12]",02/01/2024,House - Energy and Commerce,Became Public Law No: 118-107.,11/21/2024,5,,,,,
H.R. 3448,https://www.congress.gov/bill/118th-congress/house-bill/3448,118th Congress (2023-2024),American Battlefield Protection Program Enhancement Act of 2023,"Stefanik, Elise M. [Rep.-R-NY-21]",05/17/2023,House - Natural Resources | Senate - Energy and Natural Resources,Placed on Senate Legislative Calendar under General Orders. Calendar No. 647.,11/21/2024,54,,,,,
H.R. 359,https://www.congress.gov/bill/118th-congress/house-bill/359,118th Congress (2023-2024),Fort San Gerónimo Preservation Act,"González-Colón, Jenniffer [Resident Commissioner-R-PR-At Large]",01/13/2023,House - Natural Resources | Senate - Energy and Natural Resources,Placed on Senate Legislative Calendar under General Orders. Calendar No. 646.,11/21/2024,1,,,,,
H.R. 1449,https://www.congress.gov/bill/118th-congress/house-bill/1449,118th Congress (2023-2024),CLEAN Act,"Fulcher, Russ [Rep.-R-ID-1]",03/08/2023,House - Natural Resources | Senate - Energy and Natural Resources,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,11/20/2024,0,,,,,
H.R. 3887,https://www.congress.gov/bill/118th-congress/house-bill/3887,118th Congress (2023-2024),Children’s Hospital GME Support Reauthorization Act of 2023,"Crenshaw, Dan [Rep.-R-TX-2]",06/07/2023,House - Energy and Commerce,"Placed on the Union Calendar, Calendar No. 629.",11/20/2024,32,,,,,
H.R. 3290,https://www.congress.gov/bill/118th-congress/house-bill/3290,118th Congress (2023-2024),340B Transparency Act,"Bucshon, Larry [Rep.-R-IN-8]",05/15/2023,House - Energy and Commerce,"Placed on the Union Calendar, Calendar No. 628.",11/20/2024,0,,,,,
H.Res. 1576,https://www.congress.gov/bill/118th-congress/house-resolution/1576,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 1449) to amend the Geothermal Steam Act of 1970 to increase the frequency of lease sales, to require replacement sales, and for other purposes, and providing for consideration of the bill (H.R. 9495) to amend the Internal Revenue Code of 1986 to postpone tax deadlines and reimburse paid late fees for United States nationals who are unlawfully or wrongfully detained or held hostage abroad, to terminate the tax-exempt status of terrorist supporting organizations, and for other purposes.","Fischbach, Michelle [Rep.-R-MN-7]",11/18/2024,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,11/19/2024,0,,,,,
H.R. 4529,https://www.congress.gov/bill/118th-congress/house-bill/4529,118th Congress (2023-2024),Public Health Guidance Transparency and Accountability Act of 2023,"McMorris Rodgers, Cathy [Rep.-R-WA-5]",07/11/2023,House - Energy and Commerce,"Placed on the Union Calendar, Calendar No. 627.",11/19/2024,1,,,,,
H.R. 8446,https://www.congress.gov/bill/118th-congress/house-bill/8446,118th Congress (2023-2024),Critical Mineral Consistency Act of 2024,"Ciscomani, Juan [Rep.-R-AZ-6]",05/17/2024,House - Natural Resources | Senate - Energy and Natural Resources,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,11/18/2024,5,,,,,
H.R. 7409,https://www.congress.gov/bill/118th-congress/house-bill/7409,118th Congress (2023-2024),HEATS Act,"Kim, Young [Rep.-R-CA-40]",02/20/2024,House - Natural Resources | Senate - Energy and Natural Resources,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,11/18/2024,2,,,,,
H.R. 8449,https://www.congress.gov/bill/118th-congress/house-bill/8449,118th Congress (2023-2024),AM Radio for Every Vehicle Act of 2024,"Bilirakis, Gus M. [Rep.-R-FL-12]",05/17/2024,"House - Energy and Commerce, Transportation and Infrastructure, Homeland Security","Placed on the Union Calendar, Calendar No. 625.",11/18/2024,1,,,,,
H.R. 6951,https://www.congress.gov/bill/118th-congress/house-bill/6951,118th Congress (2023-2024),College Cost Reduction Act,"Foxx, Virginia [Rep.-R-NC-5]",01/11/2024,House - Education and the Workforce,"Placed on the Union Calendar, Calendar No. 624.",11/18/2024,153,,,,,
H.R. 6107,https://www.congress.gov/bill/118th-congress/house-bill/6107,118th Congress (2023-2024),Urban Canal Modernization Act,"Simpson, Michael K. [Rep.-R-ID-2]",10/26/2023,House - Natural Resources,"Placed on the Union Calendar, Calendar No. 619.",11/14/2024,2,,,,,
H.Res. 1568,https://www.congress.gov/bill/118th-congress/house-resolution/1568,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 8932) to establish an earlier application processing cycle for the FAFSA; providing for consideration of the bill (H.R. 7409) to amend the Geothermal Steam Act of 1970 to waive the requirement for a Federal drilling permit for certain activities, to exempt certain activities from the requirements of the National Environmental Policy Act of 1969, and for other purposes; and providing for consideration of the bill (H.R. 8446) to amend the Energy Act of 2020 to include critical materials in the definition of critical mineral, and for other purposes.","Burgess, Michael C. [Rep.-R-TX-26]",11/12/2024,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,11/13/2024,0,,,,,
H.R. 8205,https://www.congress.gov/bill/118th-congress/house-bill/8205,118th Congress (2023-2024),Keeping Violent Offenders Off Our Streets Act,"Fitzgerald, Scott [Rep.-R-WI-5]",05/01/2024,House - Judiciary | Senate - Judiciary,Received in the Senate and Read twice and referred to the Committee on the Judiciary.,11/12/2024,5,,,,,
H.R. 8790,https://www.congress.gov/bill/118th-congress/house-bill/8790,118th Congress (2023-2024),Fix Our Forests Act,"Westerman, Bruce [Rep.-R-AR-4]",06/18/2024,"House - Natural Resources, Agriculture, Science, Space, and Technology | Senate - Agriculture, Nutrition, and Forestry","Received in the Senate and Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",11/12/2024,23,,,,,
H.R. 6174,https://www.congress.gov/bill/118th-congress/house-bill/6174,118th Congress (2023-2024),DHS Biodetection Improvement Act,"Strong, Dale W. [Rep.-R-AL-5]",11/02/2023,House - Homeland Security | Senate - Homeland Security and Governmental Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 552.,11/12/2024,4,,,,,
H.R. 3334,https://www.congress.gov/bill/118th-congress/house-bill/3334,118th Congress (2023-2024),STOP CCP Act,"McClain, Lisa C. [Rep.-R-MI-9]",05/15/2023,"House - Foreign Affairs, Judiciary | Senate - Foreign Relations",Received in the Senate and Read twice and referred to the Committee on Foreign Relations.,11/12/2024,9,,,,,
H.J.Res. 100,https://www.congress.gov/bill/118th-congress/house-joint-resolution/100,118th Congress (2023-2024),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Securities and Exchange Commission relating to ""Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure"".","Garbarino, Andrew R. [Rep.-R-NY-2]",11/09/2023,House - Financial Services,"Placed on the Union Calendar, Calendar No. 614.",11/01/2024,6,,,,,
H.R. 7437,https://www.congress.gov/bill/118th-congress/house-bill/7437,118th Congress (2023-2024),Fostering the Use of Technology to Uphold Regulatory Effectiveness in Supervision Act,"Houchin, Erin [Rep.-R-IN-9]",02/23/2024,House - Financial Services,"Placed on the Union Calendar, Calendar No. 615.",11/01/2024,3,,,,,
H.R. 8340,https://www.congress.gov/bill/118th-congress/house-bill/8340,118th Congress (2023-2024),Housing Unhoused Disabled Veterans Act,"Sherman, Brad [Rep.-D-CA-32]",05/10/2024,House - Financial Services,"Placed on the Union Calendar, Calendar No. 613.",11/01/2024,101,,,,,
H.R. 4551,https://www.congress.gov/bill/118th-congress/house-bill/4551,118th Congress (2023-2024),Protecting Investors’ Personally Identifiable Information Act,"Loudermilk, Barry [Rep.-R-GA-11]",07/11/2023,House - Financial Services,"Placed on the Union Calendar, Calendar No. 611.",11/01/2024,14,,,,,
H.R. 4206,https://www.congress.gov/bill/118th-congress/house-bill/4206,118th Congress (2023-2024),Bank Safety Act of 2024,"Sherman, Brad [Rep.-D-CA-32]",06/20/2023,House - Financial Services,"Placed on the Union Calendar, Calendar No. 612.",11/01/2024,1,,,,,
H.R. 4524,https://www.congress.gov/bill/118th-congress/house-bill/4524,118th Congress (2023-2024),Parity for Tribal Law Enforcement Act,"Newhouse, Dan [Rep.-R-WA-4]",07/10/2023,"House - Natural Resources, Judiciary","Reported (Amended) by the Committee on Natural Resources. H. Rept. 118-718, Part I.",10/25/2024,19,,,,,
H.R. 2437,https://www.congress.gov/bill/118th-congress/house-bill/2437,118th Congress (2023-2024),Town of North Topsail Beach Coastal Barrier Resources System Map Amendment,"Murphy, Gregory F. [Rep.-R-NC-3]",03/30/2023,House - Natural Resources,"Placed on the Union Calendar, Calendar No. 608.",10/25/2024,1,,,,,
H.R. 4297,https://www.congress.gov/bill/118th-congress/house-bill/4297,118th Congress (2023-2024),Bolts Ditch Act,"Neguse, Joe [Rep.-D-CO-2]",06/22/2023,House - Natural Resources,"Placed on the Union Calendar, Calendar No. 607.",10/25/2024,2,,,,,
H.R. 4587,https://www.congress.gov/bill/118th-congress/house-bill/4587,118th Congress (2023-2024),Red Snapper Act,"Rutherford, John H. [Rep.-R-FL-5]",07/12/2023,House - Natural Resources,"Placed on the Union Calendar, Calendar No. 606.",10/25/2024,17,,,,,
H.R. 6008,https://www.congress.gov/bill/118th-congress/house-bill/6008,118th Congress (2023-2024),R.I.C.E.’s Whale Act,"Graves, Garret [Rep.-R-LA-6]",10/20/2023,House - Natural Resources,"Placed on the Union Calendar, Calendar No. 605.",10/25/2024,3,,,,,
H.R. 4141,https://www.congress.gov/bill/118th-congress/house-bill/4141,118th Congress (2023-2024),"To provide that certain communications projects are not subject to requirements to prepare certain environmental or historical preservation reviews, and for other purposes.","Fulcher, Russ [Rep.-R-ID-1]",06/15/2023,"House - Natural Resources, Energy and Commerce","Reported (Amended) by the Committee on Natural Resources. H. Rept. 118-713, Part I.",10/22/2024,0,,,,,
H.R. 1314,https://www.congress.gov/bill/118th-congress/house-bill/1314,118th Congress (2023-2024),LODGE Act,"Moore, Blake D. [Rep.-R-UT-1]",03/01/2023,House - Natural Resources,"Placed on the Union Calendar, Calendar No. 604.",10/22/2024,4,,,,,
H.R. 1786,https://www.congress.gov/bill/118th-congress/house-bill/1786,118th Congress (2023-2024),GROW Act,"Levin, Mike [Rep.-D-CA-49]",03/24/2023,"House - Natural Resources, Veterans' Affairs","Reported by the Committee on Natural Resources. H. Rept. 118-715, Part I.",10/22/2024,1,,,,,
H.R. 3675,https://www.congress.gov/bill/118th-congress/house-bill/3675,118th Congress (2023-2024),Western Water Accelerated Revenue Repayment Act,"Boebert, Lauren [Rep.-R-CO-3]",05/25/2023,House - Natural Resources,"Placed on the Union Calendar, Calendar No. 603.",10/22/2024,9,,,,,
H.R. 3499,https://www.congress.gov/bill/118th-congress/house-bill/3499,118th Congress (2023-2024),Direct Hire To Fight Fires,"Issa, Darrell E. [Rep.-R-CA-48]",05/18/2023,"House - Natural Resources, Oversight and Accountability, Agriculture","Reported (Amended) by the Committee on Natural Resources. H. Rept. 118-714, Part I.",10/22/2024,3,,,,,
H.R. 9462,https://www.congress.gov/bill/118th-congress/house-bill/9462,118th Congress (2023-2024),Educational Choice for Children Act of 2024,"Smith, Adrian [Rep.-R-NE-3]",09/06/2024,"House - Ways and Means, Education and the Workforce","Placed on the Union Calendar, Calendar No. 600.",10/04/2024,23,,,,,
H.R. 6513,https://www.congress.gov/bill/118th-congress/house-bill/6513,118th Congress (2023-2024),COCOA Act of 2024,"Carey, Mike [Rep.-R-OH-15]",11/30/2023,House - House Administration | Senate - Rules and Administration,Became Public Law No: 118-106.,10/04/2024,2,,,,,
H.R. 736,https://www.congress.gov/bill/118th-congress/house-bill/736,118th Congress (2023-2024),PROTECT Kids Act,"Walberg, Tim [Rep.-R-MI-5]",02/01/2023,House - Education and the Workforce,"Placed on the Union Calendar, Calendar No. 599.",10/01/2024,8,,,,,
H.R. 7032,https://www.congress.gov/bill/118th-congress/house-bill/7032,118th Congress (2023-2024),Congressional Budget Office Data Sharing Act,"Boyle, Brendan F. [Rep.-D-PA-2]",01/18/2024,House - Budget,Became Public Law No: 118-89.,09/30/2024,34,,,,,
H.R. 7073,https://www.congress.gov/bill/118th-congress/house-bill/7073,118th Congress (2023-2024),Next Generation Pipelines Research and Development Act,"Weber, Randy K., Sr. [Rep.-R-TX-14]",01/22/2024,"House - Science, Space, and Technology | Senate - Energy and Natural Resources",Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,09/25/2024,4,,,,,
H.R. 4259,https://www.congress.gov/bill/118th-congress/house-bill/4259,118th Congress (2023-2024),Think Differently about Education Act of 2023,"Molinaro, Marcus J. [Rep.-R-NY-19]",06/21/2023,"House - Education and the Workforce | Senate - Health, Education, Labor, and Pensions","Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",09/25/2024,7,,,,,
H.R. 7323,https://www.congress.gov/bill/118th-congress/house-bill/7323,118th Congress (2023-2024),Montgomery GI Bill Selected Reserves Tuition Fairness Act of 2024,"Van Orden, Derrick [Rep.-R-WI-3]",02/13/2024,"House - Veterans' Affairs, Armed Services | Senate - Veterans' Affairs",Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.,09/25/2024,1,,,,,
H.R. 7422,https://www.congress.gov/bill/118th-congress/house-bill/7422,118th Congress (2023-2024),Geothermal Cost-Recovery Authority Act of 2024,"Ocasio-Cortez, Alexandria [Rep.-D-NY-14]",02/20/2024,House - Natural Resources | Senate - Energy and Natural Resources,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,09/25/2024,0,,,,,
H.R. 7370,https://www.congress.gov/bill/118th-congress/house-bill/7370,118th Congress (2023-2024),GEO Act,"Curtis, John R. [Rep.-R-UT-3]",02/15/2024,House - Natural Resources | Senate - Energy and Natural Resources,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,09/25/2024,0,,,,,
H.R. 1657,https://www.congress.gov/bill/118th-congress/house-bill/1657,118th Congress (2023-2024),Lake Winnibigoshish Land Exchange Act of 2024,"Stauber, Pete [Rep.-R-MN-8]",03/17/2023,"House - Natural Resources | Senate - Agriculture, Nutrition, and Forestry","Received in the Senate and Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",09/25/2024,4,,,,,
H.R. 1726,https://www.congress.gov/bill/118th-congress/house-bill/1726,118th Congress (2023-2024),Continued Rapid Ohia Death Response Act of 2023,"Tokuda, Jill N. [Rep.-D-HI-2]",03/22/2023,"House - Natural Resources, Agriculture | Senate - Agriculture, Nutrition, and Forestry","Received in the Senate and Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",09/25/2024,1,,,,,
H.R. 522,https://www.congress.gov/bill/118th-congress/house-bill/522,118th Congress (2023-2024),Deliver for Veterans Act,"Moylan, James C. [Del.-R-GU-At Large]",01/25/2023,House - Veterans' Affairs | Senate - Veterans' Affairs,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.,09/25/2024,19,,,,,
H.R. 5509,https://www.congress.gov/bill/118th-congress/house-bill/5509,118th Congress (2023-2024),Electronic Permitting Modernization Act,"Porter, Katie [Rep.-D-CA-47]",09/14/2023,House - Natural Resources | Senate - Energy and Natural Resources,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,09/25/2024,5,,,,,
H.R. 4596,https://www.congress.gov/bill/118th-congress/house-bill/4596,118th Congress (2023-2024),Upper Colorado and San Juan River Basins Endangered Fish Recovery Programs Reauthorization Act of 2024,"Boebert, Lauren [Rep.-R-CO-3]",07/13/2023,House - Natural Resources,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 545.,09/25/2024,8,,,,,
H.R. 6474,https://www.congress.gov/bill/118th-congress/house-bill/6474,118th Congress (2023-2024),To amend the Energy Policy Act of 2005 to expedite geothermal exploration and development in previously studied or developed areas.,"Steel, Michelle [Rep.-R-CA-45]",11/21/2023,House - Natural Resources | Senate - Energy and Natural Resources,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,09/25/2024,1,,,,,
H.R. 8958,https://www.congress.gov/bill/118th-congress/house-bill/8958,118th Congress (2023-2024),NASA Reauthorization Act of 2024,"Lucas, Frank D. [Rep.-R-OK-3]",07/09/2024,"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",09/24/2024,3,,,,,
H.R. 3884,https://www.congress.gov/bill/118th-congress/house-bill/3884,118th Congress (2023-2024),"Sickle Cell Disease and Other Heritable Blood Disorders Research, Surveillance, Prevention, and Treatment Act of 2023","Burgess, Michael C. [Rep.-R-TX-26]",06/07/2023,"House - Energy and Commerce | Senate - Health, Education, Labor, and Pensions","Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",09/24/2024,3,,,,,
H.R. 2706,https://www.congress.gov/bill/118th-congress/house-bill/2706,118th Congress (2023-2024),Charlotte Woodward Organ Transplant Discrimination Prevention Act,"Cammack, Kat [Rep.-R-FL-3]",04/19/2023,"House - Energy and Commerce | Senate - Health, Education, Labor, and Pensions","Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",09/24/2024,43,,,,,
H.R. 7630,https://www.congress.gov/bill/118th-congress/house-bill/7630,118th Congress (2023-2024),ANCHOR Act,"Garcia, Mike [Rep.-R-CA-27]",03/12/2024,"House - Science, Space, and Technology",Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 526.,09/24/2024,1,,,,,
H.R. 6219,https://www.congress.gov/bill/118th-congress/house-bill/6219,118th Congress (2023-2024),ASCEND Act,"Kean, Thomas H. [Rep.-R-NJ-7]",11/03/2023,"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",09/24/2024,2,,,,,
H.Res. 1486,https://www.congress.gov/bill/118th-congress/house-resolution/1486,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 3334) to provide for the imposition of sanctions on members of the National Communist Party Congress of the People's Republic of China, and for other purposes; providing for consideration of the bill (H.R. 8205) to amend the Omnibus Crime Control and Safe Streets Act of 1968 to provide that Byrne grant funds may be used for public safety report systems, and for other purposes; providing for consideration of the bill (H.R. 8790) to expedite under the National Environmental Policy Act of 1969 and improve forest management activities on National Forest System lands, on public lands under the jurisdiction of the Bureau of Land Management, and on Tribal lands to return resilience to overgrown, fire-prone forested lands, and for other purposes; providing for consideration of the resolution (H. Res. 1469) ensuring accountability for key officials in the Biden-Harris administration responsible for decisionmaking and execution failures throughout the withdrawal from Afghanistan; and for other purposes.","Burgess, Michael C. [Rep.-R-TX-26]",09/23/2024,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,09/24/2024,0,,,,,
H.R. 9459,https://www.congress.gov/bill/118th-congress/house-bill/9459,118th Congress (2023-2024),PATHS Act,"Guest, Michael [Rep.-R-MS-3]",09/06/2024,House - Homeland Security,Received in the Senate.,09/24/2024,1,,,,,
H.R. 5526,https://www.congress.gov/bill/118th-congress/house-bill/5526,118th Congress (2023-2024),Seniors’ Access to Critical Medications Act of 2024,"Harshbarger, Diana [Rep.-R-TN-1]",09/18/2023,"House - Energy and Commerce, Ways and Means | Senate - Finance",Received in the Senate and Read twice and referred to the Committee on Finance.,09/24/2024,69,,,,,
H.R. 7685,https://www.congress.gov/bill/118th-congress/house-bill/7685,118th Congress (2023-2024),IMPACT Act,"Miller, Max L. [Rep.-R-OH-7]",03/15/2024,"House - Science, Space, and Technology | Senate - Energy and Natural Resources",Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,09/24/2024,1,,,,,
H.R. 1735,https://www.congress.gov/bill/118th-congress/house-bill/1735,118th Congress (2023-2024),Mathematical and Statistical Modeling Education Act,"Houlahan, Chrissy [Rep.-D-PA-6]",03/23/2023,"House - Science, Space, and Technology | Senate - Health, Education, Labor, and Pensions","Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",09/24/2024,3,,,,,
H.R. 3433,https://www.congress.gov/bill/118th-congress/house-bill/3433,118th Congress (2023-2024),Give Kids a Chance Act of 2024,"McCaul, Michael T. [Rep.-R-TX-10]",05/17/2023,"House - Energy and Commerce | Senate - Health, Education, Labor, and Pensions","Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",09/24/2024,235,,,,,
H.R. 6125,https://www.congress.gov/bill/118th-congress/house-bill/6125,118th Congress (2023-2024),Online Dating Safety Act of 2023,"Valadao, David G. [Rep.-R-CA-22]",10/30/2023,"House - Energy and Commerce | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",09/24/2024,1,,,,,
H.R. 8108,https://www.congress.gov/bill/118th-congress/house-bill/8108,118th Congress (2023-2024),To amend title XIX of the Social Security Act to add a Medicaid State plan requirement with respect to the determination of residency of certain individuals serving in the Armed Forces.,"Kiggans, Jennifer A. [Rep.-R-VA-2]",04/23/2024,House - Energy and Commerce | Senate - Finance,Received in the Senate and Read twice and referred to the Committee on Finance.,09/24/2024,3,,,,,
H.R. 3724,https://www.congress.gov/bill/118th-congress/house-bill/3724,118th Congress (2023-2024),End Woke Higher Education Act,"Owens, Burgess [Rep.-R-UT-4]",05/25/2023,"House - Education and the Workforce | Senate - Health, Education, Labor, and Pensions","Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",09/23/2024,3,,,,,
H.R. 5794,https://www.congress.gov/bill/118th-congress/house-bill/5794,118th Congress (2023-2024),Veterans Affairs Peer Review Neutrality Act of 2023,"Dingell, Debbie [Rep.-D-MI-6]",09/28/2023,House - Veterans' Affairs,"Placed on the Union Calendar, Calendar No. 597.",09/23/2024,1,,,,,
H.R. 4790,https://www.congress.gov/bill/118th-congress/house-bill/4790,118th Congress (2023-2024),Prioritizing Economic Growth Over Woke Policies Act,"Huizenga, Bill [Rep.-R-MI-4]",07/20/2023,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs","Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",09/23/2024,3,,,,,
H.R. 7377,https://www.congress.gov/bill/118th-congress/house-bill/7377,118th Congress (2023-2024),Royalty Resiliency Act,"Hunt, Wesley [Rep.-R-TX-38]",02/15/2024,House - Natural Resources,Became Public Law No: 118-81.,09/20/2024,6,,,,,
H.R. 8610,https://www.congress.gov/bill/118th-congress/house-bill/8610,118th Congress (2023-2024),"Counter-UAS Authority Security, Safety, and Reauthorization Act","Green, Mark E. [Rep.-R-TN-7]",06/04/2024,"House - Transportation and Infrastructure, Judiciary, Homeland Security","Placed on the Union Calendar, Calendar No. 592.",09/20/2024,6,,,,,
H.R. 4693,https://www.congress.gov/bill/118th-congress/house-bill/4693,118th Congress (2023-2024),Tennessee Valley Authority Salary Transparency Act,"Cohen, Steve [Rep.-D-TN-9]",07/18/2023,"House - Transportation and Infrastructure | Senate - Homeland Security and Governmental Affairs, Environment and Public Works",Referred to the Committee on Environment and Public Works.,09/19/2024,1,,,,,
H.R. 7909,https://www.congress.gov/bill/118th-congress/house-bill/7909,118th Congress (2023-2024),Violence Against Women by Illegal Aliens Act,"Mace, Nancy [Rep.-R-SC-1]",04/09/2024,House - Judiciary | Senate - Judiciary,Received in the Senate and Read twice and referred to the Committee on the Judiciary.,09/19/2024,6,,,,,
H.R. 5179,https://www.congress.gov/bill/118th-congress/house-bill/5179,118th Congress (2023-2024),Anti-BDS Labeling Act,"Tenney, Claudia [Rep.-R-NY-24]",08/08/2023,House - Ways and Means | Senate - Finance,Received in the Senate and Read twice and referred to the Committee on Finance.,09/19/2024,0,,,,,
H.R. 5339,https://www.congress.gov/bill/118th-congress/house-bill/5339,118th Congress (2023-2024),Protecting Americans’ Investments from Woke Policies Act,"Allen, Rick W. [Rep.-R-GA-12]",09/05/2023,"House - Education and the Workforce | Senate - Banking, Housing, and Urban Affairs","Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",09/19/2024,1,,,,,
H.R. 1513,https://www.congress.gov/bill/118th-congress/house-bill/1513,118th Congress (2023-2024),FUTURE Networks Act,"Matsui, Doris O. [Rep.-D-CA-7]",03/09/2023,"House - Energy and Commerce | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",09/19/2024,2,,,,,
H.R. 2941,https://www.congress.gov/bill/118th-congress/house-bill/2941,118th Congress (2023-2024),Recognizing the Role of Direct Support Professionals Act,"Fitzpatrick, Brian K. [Rep.-R-PA-1]",04/27/2023,House - Education and the Workforce,"Placed on the Union Calendar, Calendar No. 587.",09/19/2024,53,,,,,
