Downloaded on,03/10/2025,19:11:46 EDT,,,,,,,,,,,,
Search URL,https://www.congress.gov/search?q=%7B%22source%22%3A%22all%22%2C%22search%22%3A%22legislativeSource%3A%5C%22Legislation%5C%22+AND+congressId%3A118+AND+actionCode%3A%5C%225000%5C%22+AND+chamber%3A%5C%22House%5C%22%22%7D,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Amends Bill,Date Offered,Date Submitted,Date Proposed,Amends Amendment
H.R. 8245,https://www.congress.gov/bill/118th-congress/house-bill/8245,118th Congress (2023-2024),Rural Hospital Stabilization Act,"Feenstra, Randy [Rep.-R-IA-4]",05/06/2024,House - Ways and Means,"Placed on the Union Calendar, Calendar No. 803.",12/27/2024,1,,,,,
H.R. 8246,https://www.congress.gov/bill/118th-congress/house-bill/8246,118th Congress (2023-2024),Second Chances for Rural Hospitals Act,"Arrington, Jodey C. [Rep.-R-TX-19]",05/06/2024,House - Ways and Means,"Placed on the Union Calendar, Calendar No. 806.",12/27/2024,2,,,,,
H.R. 8244,https://www.congress.gov/bill/118th-congress/house-bill/8244,118th Congress (2023-2024),Ensuring Seniors’ Access to Quality Care Act,"Estes, Ron [Rep.-R-KS-4]",05/06/2024,"House - Ways and Means, Energy and Commerce","Placed on the Union Calendar, Calendar No. 805.",12/27/2024,6,,,,,
H.R. 7931,https://www.congress.gov/bill/118th-congress/house-bill/7931,118th Congress (2023-2024),PEAKS Act,"Miller, Carol D. [Rep.-R-WV-1]",04/10/2024,"House - Ways and Means, Energy and Commerce","Placed on the Union Calendar, Calendar No. 804.",12/27/2024,3,,,,,
H.R. 8816,https://www.congress.gov/bill/118th-congress/house-bill/8816,118th Congress (2023-2024),American Medical Innovation and Investment Act of 2024,"Buchanan, Vern [Rep.-R-FL-16]",06/25/2024,"House - Ways and Means, Energy and Commerce","Reported (Amended) by the Committee on Ways and Means. H. Rept. 118-958, Part I.",12/27/2024,0,,,,,
H.R. 4818,https://www.congress.gov/bill/118th-congress/house-bill/4818,118th Congress (2023-2024),Treat and Reduce Obesity Act of 2023,"Wenstrup, Brad R. [Rep.-R-OH-2]",07/20/2023,"House - Ways and Means, Energy and Commerce","Reported (Amended) by the Committee on Ways and Means. H. Rept. 118-959, Part I.",12/27/2024,120,,,,,
H.R. 8915,https://www.congress.gov/bill/118th-congress/house-bill/8915,118th Congress (2023-2024),Education and Workforce Freedom Act,"Hern, Kevin [Rep.-R-OK-1]",07/02/2024,House - Ways and Means,"Placed on the Union Calendar, Calendar No. 799.",12/24/2024,6,,,,,
H.R. 7979,https://www.congress.gov/bill/118th-congress/house-bill/7979,118th Congress (2023-2024),End China’s De Minimis Abuse Act,"Murphy, Gregory F. [Rep.-R-NC-3]",04/15/2024,House - Ways and Means,"Placed on the Union Calendar, Calendar No. 797.",12/24/2024,2,,,,,
H.R. 7906,https://www.congress.gov/bill/118th-congress/house-bill/7906,118th Congress (2023-2024),Strengthening State and Tribal Child Support Enforcement Act,"Hern, Kevin [Rep.-R-OK-1]",04/09/2024,House - Ways and Means,"Placed on the Union Calendar, Calendar No. 800.",12/24/2024,41,,,,,
H.R. 9461,https://www.congress.gov/bill/118th-congress/house-bill/9461,118th Congress (2023-2024),USA Workforce Investment Act,"Smucker, Lloyd [Rep.-R-PA-11]",09/06/2024,House - Ways and Means,"Placed on the Union Calendar, Calendar No. 793.",12/24/2024,0,,,,,
H.R. 8913,https://www.congress.gov/bill/118th-congress/house-bill/8913,118th Congress (2023-2024),Protecting American Students Act,"Ferguson, A. Drew [Rep.-R-GA-3]",07/02/2024,House - Ways and Means,"Placed on the Union Calendar, Calendar No. 798.",12/24/2024,9,,,,,
H.R. 1691,https://www.congress.gov/bill/118th-congress/house-bill/1691,118th Congress (2023-2024),Ensuring Patient Access to Critical Breakthrough Products Act of 2024,"Wenstrup, Brad R. [Rep.-R-OH-2]",03/22/2023,"House - Ways and Means, Energy and Commerce","Placed on the Union Calendar, Calendar No. 801.",12/24/2024,89,,,,,
H.R. 562,https://www.congress.gov/bill/118th-congress/house-bill/562,118th Congress (2023-2024),Improving Veterans Access to Congressional Services Act of 2023,"Mast, Brian J. [Rep.-R-FL-21]",01/26/2023,House - Veterans' Affairs,"Placed on the Union Calendar, Calendar No. 794.",12/24/2024,34,,,,,
H.R. 1089,https://www.congress.gov/bill/118th-congress/house-bill/1089,118th Congress (2023-2024),VA Medical Center Facility Transparency Act,"Lesko, Debbie [Rep.-R-AZ-8]",02/17/2023,House - Veterans' Affairs,"Placed on the Union Calendar, Calendar No. 796.",12/24/2024,6,,,,,
H.R. 1256,https://www.congress.gov/bill/118th-congress/house-bill/1256,118th Congress (2023-2024),Veterans Health Administration Leadership Transformation Act,"Mrvan, Frank J. [Rep.-D-IN-1]",02/28/2023,House - Veterans' Affairs,"Placed on the Union Calendar, Calendar No. 795.",12/24/2024,1,,,,,
H.R. 7332,https://www.congress.gov/bill/118th-congress/house-bill/7332,118th Congress (2023-2024),Utah State Parks Adjustment Act,"Maloy, Celeste [Rep.-R-UT-2]",02/13/2024,House - Natural Resources,Became Public Law No: 118-181.,12/23/2024,0,,,,,
H.R. 1607,https://www.congress.gov/bill/118th-congress/house-bill/1607,118th Congress (2023-2024),"To clarify jurisdiction with respect to certain Bureau of Reclamation pumped storage development, and for other purposes.","Schweikert, David [Rep.-R-AZ-1]",03/14/2023,House - Natural Resources | Senate - Energy and Natural Resources,Became Public Law No: 118-162.,12/23/2024,4,,,,,
H.R. 8663,https://www.congress.gov/bill/118th-congress/house-bill/8663,118th Congress (2023-2024),DETECT Fentanyl and Xylazine Act of 2024,"LaLota, Nick [Rep.-R-NY-1]",06/07/2024,House - Homeland Security | Senate - Homeland Security and Governmental Affairs,Became Public Law No: 118-186.,12/23/2024,2,,,,,
H.R. 5770,https://www.congress.gov/bill/118th-congress/house-bill/5770,118th Congress (2023-2024),Water Monitoring and Tracking Essential Resources (WATER) Data Improvement Act,"Neguse, Joe [Rep.-D-CO-2]",09/27/2023,House - Natural Resources | Senate - Energy and Natural Resources,Became Public Law No: 118-174.,12/23/2024,2,,,,,
